,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2469462,1796-01-01,19.649,2.286,Gandhinagar,India,23.31N,72.52E
2469463,1796-02-01,21.632,1.77,Gandhinagar,India,23.31N,72.52E
2469464,1796-03-01,24.953000000000003,2.427,Gandhinagar,India,23.31N,72.52E
2469465,1796-04-01,30.297,1.827,Gandhinagar,India,23.31N,72.52E
2469466,1796-05-01,33.223000000000006,1.496,Gandhinagar,India,23.31N,72.52E
2469467,1796-06-01,32.129,2.92,Gandhinagar,India,23.31N,72.52E
2469468,1796-07-01,28.651,2.28,Gandhinagar,India,23.31N,72.52E
2469469,1796-08-01,27.958,2.843,Gandhinagar,India,23.31N,72.52E
2469470,1796-09-01,27.953000000000003,3.237,Gandhinagar,India,23.31N,72.52E
2469471,1796-10-01,27.285,1.662,Gandhinagar,India,23.31N,72.52E
2469472,1796-11-01,23.92,2.867,Gandhinagar,India,23.31N,72.52E
2469473,1796-12-01,18.561,3.644,Gandhinagar,India,23.31N,72.52E
2469474,1797-01-01,,,Gandhinagar,India,23.31N,72.52E
2469475,1797-02-01,,,Gandhinagar,India,23.31N,72.52E
2469476,1797-03-01,25.49,2.093,Gandhinagar,India,23.31N,72.52E
2469477,1797-04-01,29.465,2.747,Gandhinagar,India,23.31N,72.52E
2469478,1797-05-01,32.426,2.128,Gandhinagar,India,23.31N,72.52E
2469479,1797-06-01,32.553000000000004,2.041,Gandhinagar,India,23.31N,72.52E
2469480,1797-07-01,28.604,2.27,Gandhinagar,India,23.31N,72.52E
2469481,1797-08-01,27.886,2.067,Gandhinagar,India,23.31N,72.52E
2469482,1797-09-01,28.048,2.8710000000000004,Gandhinagar,India,23.31N,72.52E
2469483,1797-10-01,26.889,2.149,Gandhinagar,India,23.31N,72.52E
2469484,1797-11-01,22.892,1.938,Gandhinagar,India,23.31N,72.52E
2469485,1797-12-01,20.278,2.546,Gandhinagar,India,23.31N,72.52E
2469486,1798-01-01,19.869,1.984,Gandhinagar,India,23.31N,72.52E
2469487,1798-02-01,21.887,2.01,Gandhinagar,India,23.31N,72.52E
2469488,1798-03-01,27.112,1.938,Gandhinagar,India,23.31N,72.52E
2469489,1798-04-01,,,Gandhinagar,India,23.31N,72.52E
2469490,1798-05-01,,,Gandhinagar,India,23.31N,72.52E
2469491,1798-06-01,32.011,2.012,Gandhinagar,India,23.31N,72.52E
2469492,1798-07-01,29.727,2.285,Gandhinagar,India,23.31N,72.52E
2469493,1798-08-01,28.346,3.863,Gandhinagar,India,23.31N,72.52E
2469494,1798-09-01,27.901,2.532,Gandhinagar,India,23.31N,72.52E
2469495,1798-10-01,27.031,2.267,Gandhinagar,India,23.31N,72.52E
2469496,1798-11-01,24.455,2.477,Gandhinagar,India,23.31N,72.52E
2469497,1798-12-01,19.837,2.027,Gandhinagar,India,23.31N,72.52E
2469498,1799-01-01,19.234,2.15,Gandhinagar,India,23.31N,72.52E
2469499,1799-02-01,20.334000000000003,2.407,Gandhinagar,India,23.31N,72.52E
2469500,1799-03-01,25.71,2.471,Gandhinagar,India,23.31N,72.52E
2469501,1799-04-01,31.135,2.998,Gandhinagar,India,23.31N,72.52E
2469502,1799-05-01,33.383,1.528,Gandhinagar,India,23.31N,72.52E
2469503,1799-06-01,32.609,2.383,Gandhinagar,India,23.31N,72.52E
2469504,1799-07-01,29.077,2.025,Gandhinagar,India,23.31N,72.52E
2469505,1799-08-01,27.938,1.374,Gandhinagar,India,23.31N,72.52E
2469506,1799-09-01,28.125,2.306,Gandhinagar,India,23.31N,72.52E
2469507,1799-10-01,27.81900000000001,1.995,Gandhinagar,India,23.31N,72.52E
2469508,1799-11-01,24.007,1.758,Gandhinagar,India,23.31N,72.52E
2469509,1799-12-01,20.021,1.655,Gandhinagar,India,23.31N,72.52E
2469510,1800-01-01,19.64,1.95,Gandhinagar,India,23.31N,72.52E
2469511,1800-02-01,22.257,3.349,Gandhinagar,India,23.31N,72.52E
2469512,1800-03-01,25.565,2.862,Gandhinagar,India,23.31N,72.52E
2469513,1800-04-01,31.534,1.845,Gandhinagar,India,23.31N,72.52E
2469514,1800-05-01,32.514,1.495,Gandhinagar,India,23.31N,72.52E
2469515,1800-06-01,32.001,1.5590000000000002,Gandhinagar,India,23.31N,72.52E
2469516,1800-07-01,28.305,1.879,Gandhinagar,India,23.31N,72.52E
2469517,1800-08-01,27.323,2.127,Gandhinagar,India,23.31N,72.52E
2469518,1800-09-01,26.929,2.123,Gandhinagar,India,23.31N,72.52E
